Title,Album,Artist,Duration
Nancy Boy,Placebo,Placebo,210000
No Meaning No,The WIRED CD,Chuck D with Fine Arts Militia,191958
Nobody Really Cares If You Don&#39;t Go to the Party,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,166000
Oh! You Pretty Things (2015 Remaster),Hunky Dory (2015 Remastered Version),David Bowie,194000
One Thing Leads To Another,Reach The Beach,The Fixx,199000
P.Y.T. (Pretty Young Thing),Thriller,Michael Jackson,239000
Paranoid,Paranoid,Black Sabbath,172120
Power Of Love,World Clique,Deee-Lite,280540
Private Idaho,Wild Planet,The B-52&#39;s,216396
Pump It Up,This Year&#39;s Model,Elvis Costello &amp; The Attractions,196000
Push the Envelope,Around the Bend,The Asteroids Galaxy Tour,241000
Radar Love,Moontan,Golden Earring,386000
Riot Radio,The Dead 60s,The Dead 60s,145000
Robot Rock (Edit),Robot Rock (Edit),Daft Punk,187000
Rock Lobster,The B-52&#39;s,The B-52&#39;s,293072
Rock The Casbah,Combat Rock,The Clash,222430
Rush,The Globe,Big Audio Dynamite II,257000
Salute Your Solution,Salute Your Solution,The Raconteurs,179000
Seether,American Thighs,Veruca Salt,196000
Senses Working Overtime,English Settlement,XTC,290000
Sexy Socialite,Over Your Shoulder,Chromeo,378000
Shake It Up,Shake It Up,The Cars,212134
"Short Skirt, Long Jacket",Comfort Eagle,Cake,203216
Should I Stay or Should I Go,Combat Rock,The Clash,189000
Sixteen Saltines,Blunderbuss,Jack White,155000
Something Good Can Work,Winter,Two Door Cinema Club,162000
Song 2 (2012 Remaster),Blur,Blur,121000
Stutter,Elastica,Elastica,142000
Sunday Morning,Songs About Jane,Maroon 5,244000
Superfly,Superfly,Curtis Mayfield,233000
Supernova,Whip-Smart,Liz Phair,168000
"Sweet and Tender Hooligan (John Peel Session, 12/2/86)",Louder Than Bombs,The Smiths,216000
Sympathy For The Devil,Beggars Banquet,The Rolling Stones,377000
Take A Chance On Me,The Album,ABBA,243955
Take Your Time (Do It Right),S.O.S.,The S.O.S Band,460000
Tangerine Speedo,Caviar,Caviar,219740
Technologic (Radio Edit),Technologic,Daft Punk,166000
Tennis Court,Pure Heroine,Lorde,198000
That&#39;s Not My Name,We Started Nothing,The Ting Tings,310593
The Big Bad Wolf,The Glorious Dead,The Heavy,200000
The Fear,"It&#39;s Not Me, It&#39;s You",Lily Allen,207000
The Girl Got Hot,Raditude,Weezer,194000
The Joker,Palookaville (Parental Advisory),Fatboy Slim,321000
The Snow,Ego War,Audio Bullys,277707
Think Twice,A Special Album,Ralph Myerz and the Herren Band,278000
This Head I Hold,Mondo,Electric Guest,175000
Tick Tick Boom,The Black And White Album,The Hives,205000
Troublemaker,Weezer (Red Album),Weezer,164000
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,256000
U Don&#39;t Know Me,The Singles,Basement Jaxx,215000
U Got the Look,Sign &quot;O&quot; the Times,Prince,227000
Valerie Loves Me,International Pop Overthrow 20th Anniversary Edition,Material Issue,184000
Victrola,American Thighs,Veruca Salt,139000
We Used To Be Friends,Welcome To The Monkey House,The Dandy Warhols,199000
Where&#39;s Your Head At,Rooty,Basement Jaxx,285000
White Wedding,Billy Idol,Billy Idol,251290
Word Up,Word Up,Cameo,260000
Wrong &#39;Em Boyo,London Calling,Clash,192296
You Got It All... Wrong,The Black And White Album,The Hives,162000
You Oughta Know,Jagged Little Pill,Alanis Morissette,249000
You Sexy Thing,Hot Chocolate,Hot Chocolate,244000
